Organisation Name,Town/City,County,Type & Rating,Route
1st Choice Windows Yorkshire Ltd.,Bradford,West Yorkshire,Worker (A rating),Skilled Worker
1ST Class Care Agency Ltd,Prescot,Merseyside,Worker (A rating),Skilled Worker
1st Class care services 2LTD,Ledbury,Herefordshire,Worker (A rating),Skilled Worker
1st Class Care Solutions Limited,Livingston,NULL,Worker (A rating),Skilled Worker
1st Class Protection Ltd,London,,Worker (A rating),Skilled Worker
1st Cloud Accountants,Sunderland,Tyne and Wear,Worker (A rating),Skilled Worker
1st Enable Ltd,Ellesmere Port,Cheshire,Worker (A rating),Skilled Worker
1st Focus Homecare Ltd,Edinburgh,NULL,Worker (A rating),Skilled Worker
1st Formations Limited,London,,Worker (A rating),Skilled Worker
1st Fresh Foods Ltd,Mitcham,,Worker (A rating),Skilled Worker
1st Glimpse Ltd,Burnham on Crouch,Essex,Worker (A rating),Skilled Worker
1st Grade Care Ltd,St Mellons,Cardiff,Worker (A rating),Skilled Worker
1st Homecare Solutions Limited,Leighton Buzzard,Bedfordshire,Worker (A rating),Skilled Worker
1st Line Defence Ltd,Hoddesdon,Hertfordshire,Worker (A rating),Skilled Worker
1st Locate UK LTD,Leeds,,Worker (A rating),Skilled Worker
1ST LOOK FIRE & SECURITY SOLUTIONS LTD,Colne,,Worker (A rating),Skilled Worker
1ST MALL LTD,Reading,England ,Worker (A rating),Skilled Worker
1st Med Limited,Preston,Lancs,Worker (A rating),Skilled Worker
1st Mr Clutch Ltd,Ilford,Essex,Worker (A rating),Skilled Worker
1ST NATIONAL SECURITY LTD,Waltham Abbey,,Worker (A rating),Skilled Worker
1st Option Representation Limited ,London ,,Worker (A rating),Skilled Worker
1ST PERFORMANCE & EXHAUSTS LIMITED,Norfolk,,Worker (A rating),Skilled Worker
1ST SHIELD SECURITY SERVICE LIMITED,London,London,Worker (A rating),Skilled Worker
1st Staff Limited,Epping,Essex,Worker (A rating),Skilled Worker
1st Step Childcare Ltd,Poplar,London ,Worker (A rating),Skilled Worker
1ST STOP OFF-LICENCE LTD,Nantwich,Cheshire East,Worker (A rating),Skilled Worker
1st Technologies Ltd,Preston,Lancashire,Worker (A rating),Skilled Worker
1ST TRANSPORT INNOVATION (READING) LTD, Reading,,Worker (A rating),Skilled Worker
1ST VISA INTERNATIONAL LIMITED,London,NULL,Worker (A rating),Skilled Worker
1stavenue.co.uk Ltd,Bromley,Kent,Worker (A rating),Skilled Worker
1stCurve Limited,Hockley,Essex,Worker (A rating),Skilled Worker
1stopbabystore ltd,London,,Worker (A rating),Skilled Worker
1SW EVENTS LONDON LTD,ALFREDS  WAY,NULL,Worker (A rating),Skilled Worker
1WorldSync Limited,Bristol,,Worker (A rating),Skilled Worker
2 Agriculture Limited T/A 2 Agriculture,Newbridge,Midlothian,Worker (A rating),Skilled Worker
2 Bro's Pizza & Dessert ltd,Luton,,Worker (A rating),Skilled Worker
2 Bro's Pizza & Dessert Ltd,Luton,,Worker (A rating),Skilled Worker
2 Brothers Dinning Limited ,Birmingham,,Worker (A rating),Skilled Worker
2 CARERS LTD,STOKE-ON-TRENT,Staffordshire,Worker (A rating),Skilled Worker
2 Chai Ltd,London,,Worker (A rating),Skilled Worker
2 degrees Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
2 EXCEL ENGINEERING LIMITED,Lasham,Hampshire,Worker (A rating),Skilled Worker
2 FRIENDS PUB COMPANY LTD,"Oldbury,",West Midlands,Worker (A rating),Skilled Worker
2 Guyz Limited,Illford,,Worker (A rating),Skilled Worker
2 Karaks Ltd,Luton,,Worker (A rating),Skilled Worker
2 Love Coffee Shop LTD ,London,,Worker (A rating),Skilled Worker
2 MATES KEBAB LTD,Bagshot,,Worker (A rating),Skilled Worker
2 Picardy Road Ltd,London,,Worker (A rating),Skilled Worker
2 Plan Project Management Limited,Woking,Surrey,Worker (A rating),Skilled Worker
2 Sisters Food Group Limited,Wakefield,,Worker (A rating),Skilled Worker
2-4c,Brentwood,,Worker (A rating),Skilled Worker
2-DTech Ltd.,Manchester,NULL,Worker (A rating),Skilled Worker
2.0 Consulting Limited,London,,Worker (A rating),Skilled Worker
2:30 Limited,Corby,Northamptonshire,Worker (A rating),Skilled Worker
20-20 Events Management Limited,London,,Worker (A rating),Skilled Worker
200 CONFERENCE & EVENTS LIMITED,Glasgow,,Worker (A rating),Skilled Worker
200 Degrees Coffee Roasters,Nottingham,,Worker (A rating),Skilled Worker
200OK Solutions Ltd,Stanmore,,Worker (A rating),Skilled Worker
201 ASIAN KITCHEN,London,,Worker (A rating),Skilled Worker
202 AHST GAS SERVICES LTD ,Manchester,,Worker (A rating),Skilled Worker
2020 Innovation Training Limited,Birmingham,West Midlands,Worker (A rating),Skilled Worker
2023 Cool Foods Ltd T/A Oishii Sushi,London,Middlesex ,Worker (A rating),Skilled Worker
2030 AUTO CARE LIMITED,Manchester,,Worker (A rating),Skilled Worker
2035 LTD,Staines-Upon-Thames,England,Worker (A rating),Skilled Worker
21 Six ltd,Curdridge,Hampshire,Worker (A rating),Skilled Worker
21 Six Platform Limited,London,,Worker (A rating),Skilled Worker
214 Limited T/A Chai Naasto,Beckenham,Kent,Worker (A rating),Skilled Worker
21D Bioengineering Ltd,Warrington,,Worker (A rating),Skilled Worker
21D Bioengineering Ltd,Warrington,NULL,Worker (A rating),Skilled Worker
21D Clinical Limited,Warrington,,Worker (A rating),Skilled Worker
21Hundred,London,,Worker (A rating),Skilled Worker
21ST AMENDMENT LTD,London,,Worker (A rating),Skilled Worker
21ST CENTURY CARE (PLYMOUTH) LIMITED,IVYBRIDGE ,DEVON,Worker (A rating),Skilled Worker
22 Hotel Management Limited,London,,Worker (A rating),Skilled Worker
22cans Ltd.,GUILDFORD,Surrey,Worker (A rating),Skilled Worker
23 Architecture Ltd,London,,Worker (A rating),Skilled Worker
23 Consult Ltd,Liverpool,Merseyside,Worker (A rating),Skilled Worker
238JG Ltd ,Britsol ,,Worker (A rating),Skilled Worker
2399098 Ontario Inc o/a MAK Consulting Group,High Wycombe,Bucks,Worker (A rating),Skilled Worker
23MD Medical Services Ltd ,Canterbury ,Kent ,Worker (A rating),Skilled Worker
24 7 Manpower Limited,Stanwell,,Worker (A rating),Skilled Worker
24 7 Property Maintenance Ltd,London,NULL,Worker (A rating),Skilled Worker
24 Acoustics Ltd,Southampton,Hants,Worker (A rating),Skilled Worker
24 RT Limited,Edinburgh,,Worker (A rating),Skilled Worker
24 Seven UK Limited,London,,Worker (A rating),Skilled Worker
24-4 7 FM Limited,Manchester ,,Worker (A rating),Skilled Worker
24/7 Helping Hands Service,Leicester,,Worker (A rating),Skilled Worker
24/7 Hire & Property Maintenance Services Limited,Liverpool,NULL,Worker (A rating),Skilled Worker
24/7 Medicine Limited T/ A 24-7 Pharmacy,Liverpool,Merseyside ,Worker (A rating),Skilled Worker
24/7 MY MART LIMITED,Wolverhampton,,Worker (A rating),Skilled Worker
24/7 RETAIL LTD,Manchester,United Kingdom,Worker (A rating),Skilled Worker
24/7 Support UK Limited,Peterborough,Cambridgeshire,Worker (A rating),Skilled Worker
247 ALLIANCE LTD,Birmingham,,Worker (A rating),Skilled Worker
247 Bluebell Care Ltd,Luton,Bedfordshire,Worker (A rating),Skilled Worker
247 CARS (WILLENHALL) LIMITED,Willenhall,West Midlands,Worker (A rating),Skilled Worker
247 Commerce Ltd,Brentford,Middlesex,Worker (A rating),Skilled Worker
247 Homecare Limited,Swindon,Wiltshire,Worker (A rating),Skilled Worker
247 IT SERVICES LIMITED,Hamshire,Farnborough,Worker (A rating),Skilled Worker
247 PEST CONTROL LTD,Ilford,,Worker (A rating),Skilled Worker
A Better Carehome Ltd T/As Breton Court ,Tenterden ,Kent ,Worker (B rating),Skilled Worker
Abi-Support Limited,Oxfordshire,NULL,Worker (B rating),Skilled Worker
Akaal Transport Ltd,"Leicester, Leicestershire",NULL,Worker (B rating),Skilled Worker
Care Perfect Ltd,Stoke on Trent,Staffordshire,Worker (B rating),Skilled Worker
Cocoon Vegetarian Cafe,Cheadle,,Worker (B rating),Skilled Worker
Delhi Brothers Limited,Basingstoke,Hampshire,Worker (B rating),Skilled Worker
DM GOLD LIMITED,MANCHESTER,,Temporary Worker (B rating),Creative Worker
Fabulatte Ltd,High Wycombe ,Buckinghamshire ,Worker (B rating),Skilled Worker
HBCUK LTD,London,,Worker (B rating),Skilled Worker
Jenab 3 Limited T/A Creams Shepherds Bush ,London,,Worker (B rating),Skilled Worker
LPC Components Ltd t/a Hedin Heaters,London,,Worker (B rating),Skilled Worker
Mohammed Saleh Uddin T/A The Raj Restaurant,Wigan,,Worker (B rating),Skilled Worker
NETLIGHT CONSULTING LIMITED,SLOUGH,BERKSHIRE,Worker (B rating),Global Business Mobility: Senior or Specialist Worker
Newdawn Support Services Ltd,London,,Worker (B rating),Skilled Worker
Prestige BB Ltd,Blackburn,,Worker (B rating),Skilled Worker
SOLUTION CARE 247 LTD,Corby,Northamptonshire,Worker (B rating),Skilled Worker
 Al Arsh Al Malaki Technical Services UK Ltd,England,,Worker (UK Expansion Worker: Provisional ),Global Business Mobility: UK Expansion Worker
 Al Tohfa Alshrqia General Contracting Ltd,London,,Worker (A rating),Global Business Mobility: UK Expansion Worker
 BEHIND THE SCENE DECOR UK LIMITED 15234479,LONDON,,Worker (UK Expansion Worker: Provisional ),Global Business Mobility: UK Expansion Worker
 Lemas Real Estate UK Ltd 15362523,England,,Worker (A rating),Global Business Mobility: UK Expansion Worker
 RAINBOW POLYCARBONATE INDUSTRY TRADE LTD,London,,Worker (UK Expansion Worker: Provisional ),Global Business Mobility: UK Expansion Worker
 Saga D&B Trading and Contracting UK Ltd,England,,Worker (A rating),Global Business Mobility: UK Expansion Worker
 Sweep London Limited,London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
"""K"" Line Energy Shipping (UK) Limited",LONDON,NULL,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
'Enterprise Singapore Board',London,NULL,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
00Nation Limited,London,London,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
10 Europe Limited,Edinburgh,NULL,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
17 Capital Services Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1E Limited,London,NULL,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1GLOBAL Operations (UK) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
2 Sisters Food Group Limited,Wakefield,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
26.2 Services Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
2H Offshore Engineering Ltd,Woking,Surrey,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
2X GLOBAL LIMITED,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
3-D Matrix UK Limited,London,NULL,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
360 Trading Networks UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
 CORBY MUSLIM ASSOCIATION,Corby,,Worker (A rating),Tier 2 Ministers of Religion
 Haverfordwest Central Mosque,Haverfordwest  ,,Worker (A rating),Tier 2 Ministers of Religion
 J-Praise International,Glasgow,Lanarkshire,Worker (A rating),Tier 2 Ministers of Religion
 J-Praise International,Glasgow,Lanarkshire,Temporary Worker (A rating),Charity Worker 
 J-Praise International,Glasgow,Lanarkshire,Temporary Worker (A rating),Religious Worker
 MODE AGENCE LTD,London,,Temporary Worker (A rating),Creative Worker
 Polish Residential Care Home,Corby,Northamptonshire,Temporary Worker (A rating),Religious Worker
 REDCLIFF MGT LTD,Hemel Hempstead,,Temporary Worker (A rating),Creative Worker
'Enterprise Singapore Board',London,NULL,Temporary Worker (A rating),International Agreement
@ Home Accommodation Services Ltd,London,NULL,Temporary Worker (A rating),Creative Worker
1 MODEL MANAGEMENT LONDON LIMITED,London,,Temporary Worker (A rating),Creative Worker
10BIT FX LIMITED,London,,Temporary Worker (A rating),Creative Worker
1266 Music Group,Glasgow,NULL,Temporary Worker (A rating),Creative Worker
178 PARK VIEW LIMITED,ORPINGTON,KENT,Temporary Worker (A rating),Creative Worker
